ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Stichting Bureau Commissie voor de Milieu-Effectrapportage; Utrecht; art. 1.3.1.b. invloed; IenW
Stichting Bureau Inkoop & Aanbestedingen Zuidoost-Brabant; Oirschot; art. 1.3.1.b. invloed; BZK
Stichting Burgerkracht Limburg; Sittard; art. 1.3.1.c. subsidie; BZK
Stichting Burgerpersoneelsfonds Ministerie van Defensie; 's-Gravenhage; art. 1.3.1.b. invloed; Defensie
Stichting Buurt- en Speeltuinwerk Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Buurtteamorganisatie Sociaal Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Buurtwerk Alexander; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting C2C ExpoLAB; Venlo; art. 1.3.1.b. invloed; BZK
Stichting Caleidoscoop; Heerenveen; art. 1.3.1.c. subsidie; BZK
Stichting CapelleWerkt; Capelle aan den IJssel; art. 1.3.1.b. invloed; BZK
Stichting CARE Nederland; 's-Gravenhage; bijlagen WNT; BZ
Stichting Carrefour, Welzijnsgroep Noordoostpolder; Emmeloord; art. 1.3.1.c. subsidie; BZK
Stichting Centraal Bureau voor Genealogie; Den Haag; art. 1.3.1.b. invloed; BZK
Stichting Centraal Museum; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Centraal Orgaan voor Kwaliteitsaangelegenheden in de Zuivel; Leusden; art. 1.3.1.a. openbaar gezag; LNV
Stichting Centraal Orgaan Voorraadvorming Aardolieproducten; Rotterdam; bijlagen WNT; EZK
Stichting Centram; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Centrum 16/22; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Centrum Beeldende Kunst; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Centrum Beeldende Kunst Zuidoost (CBK Zuidoost); Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Centrum Internationale Kinderontvoering; Hilversum; art. 1.3.1.c. subsidie; JenV
Stichting Centrum Kunst Educatie (CKE); Vlaardingen; art. 1.3.1.c. subsidie; BZK
Stichting Centrum voor Arbeidsverhoudingen Overheidspersoneel (CAOP); 's-Gravenhage; bijlagen WNT; BZK
Stichting Centrum voor Criminaliteitspreventie en Veiligheid; Utrecht; art. 1.3.1.b. invloed; JenV
Stichting Centrum voor de Kunsten Zuid Groningen; Stadskanaal; art. 1.3.1.c. subsidie; BZK
Stichting Centrum voor Maatschappelijk Werk en Welzijnswerk Brunssum-Onderbanken; Brunssum; art. 1.3.1.c. subsidie; BZK
Stichting Centrum voor Natuur- en Milieu-Educatie (Cnme); Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Chemelot Institute for Science & Technology; Sittard- Geleen; art. 1.3.1.b. invloed; BZK
Stichting Citymanagement Schijndel; Schijndel; art. 1.3.1.b. invloed; BZK
Stichting Citymarketingorganisatie Breda; Breda; art. 1.3.1.b. invloed; BZK
Stichting CJG Rijnmond; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting CKE, Centrum voor de Kunsten Eindhoven; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting Clup Welzijn; Purmerend; art. 1.3.1.c. subsidie; BZK
Stichting CMO STAMM Groningen Drenthe; Assen; art. 1.3.1.c. subsidie; BZK
Stichting CODA; Apeldoorn; art. 1.3.1.c. subsidie; BZK
Stichting Coherente; Ouderkerk aan de Amstel; art. 1.3.1.c. subsidie; BZK
Stichting Combiwel Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting CoMensha; Amersfoort; art. 1.3.1.c. subsidie; JenV
Stichting Concert- en congresgebouw De Doelen; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Concert- en Cultuurpodium Purmerend; Purmerend; art. 1.3.1.c. subsidie; BZK
Stichting Concordia Kunst & Cultuur; Enschede; art. 1.3.1.c. subsidie; BZK
Stichting ContourdeTwern; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Coördinatie Certificatie Milieu- en arbomanagementsystemen; Den Haag; art. 1.3.1.b. invloed; IenW
Stichting COP; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Cordaad Welzijn; Veldhoven; art. 1.3.1.c. subsidie; BZK
Stichting Cordaid; 's-Gravenhage; bijlagen WNT; BZ
Stichting 'Cultura'; Ede; art. 1.3.1.b. invloed; BZK
Stichting Cultureel Centrum Baarle; Baarle-Nassau; art. 1.3.1.b. invloed; BZK
Stichting Cultureel Centrum De Blauwe Kei; Veghel; art. 1.3.1.c. subsidie; BZK
Stichting Cultureel Centrum 'De Harmonie'; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting Cultureel Centrum 't Paard; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Cultureel Centrum Zwanenburg-Halfweg.; Zwanenburg; art. 1.3.1.c. subsidie; BZK
Stichting Cultureel Erfgoed Zeeland; Middelburg; art. 1.3.1.b. invloed; BZK
Stichting Cultureel Podium De Kelder; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Culturele Voorzieningen in de Liemers; Zevenaar; art. 1.3.1.c. subsidie; BZK
Stichting Cultuur Kwartier Sneek; Sneek; art. 1.3.1.c. subsidie; BZK
Stichting Cultuur Oost; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Cultuur+Ondernemen; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Cultuurhuis De Klinker; Winschoten; art. 1.3.1.c. subsidie; BZK
Stichting Cultuurhuis De Tamboer; Hoogeveen; art. 1.3.1.c. subsidie; BZK
Stichting CultuurSchakel; Den Haag; art. 1.3.1.c. subsidie; BZK
Stichting Cultuurwerkplaats IJsselmonde; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Dagopvang Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Dalfsen Werkt!; Dalfsen; art. 1.3.1.b. invloed; BZK
Stichting Dans- en Muziekcentrum Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting De Arkduif; Bodegraven; art. 1.3.1.b. invloed; BZK
Stichting De Balie Centrum voor Theater Politiek en Litteratuur; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek aan de Vliet; Voorburg; art. 1.3.1.c. subsidie; BZK
Stichting De Bibliotheek CultuurPuntAltena; Werkendam; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Deventer; Deventer; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Midden-Brabant; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Veldhoven; Veldhoven; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Wijchen; Wijchen; art. 1.3.1.c. subsidie; BZK
Stichting de Bibliotheek Z-O-U-T; Maarn; art. 1.3.1.c. subsidie; BZK
Stichting De Boei, Sociaal Werk Bunschoten; Bunschoten-Spakenburg; art. 1.3.1.c. subsidie; BZK
Stichting De Boetzelaer; Monster; art. 1.3.1.c. subsidie; BZK
Stichting De Domijnen; Sittard; art. 1.3.1.c. subsidie; BZK
Stichting de Groninger Poldermolens; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting De Gruitpoort; Doetinchem; art. 1.3.1.c. subsidie; BZK
Stichting De Haamen; Beek; art. 1.3.1.c. subsidie; BZK
Stichting 'De Helderse Vallei'; Den Helder; art. 1.3.1.c. subsidie; BZK
Stichting De Kap, ondersteuning van informele zorg; Apeldoorn; art. 1.3.1.c. subsidie; BZK
'Stichting DE KOM, stadstheater en kunstencentrum'; Nieuwegein; art. 1.3.1.c. subsidie; BZK
Stichting De Kubus Centrum voor Kunst & Cultuur; Lelystad; art. 1.3.1.c. subsidie; BZK
Stichting De Lage Beemden; Boekel; art. 1.3.1.c. subsidie; BZK
Stichting De Lindenberg, Huis voor de Kunsten; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting De Meenthe; Steenwijk; art. 1.3.1.b. invloed; BZK
Stichting De Meervaart; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting de Museumfabriek; Enschede; art. 1.3.1.c. subsidie; BZK
Stichting de Muzen Veenendaal; Veenendaal; art. 1.3.1.c. subsidie; BZK
Stichting De Nieuwe Kans; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting De Nieuwe Vorst; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting de Overijsselse Ombudsman; Raalte; art. 1.3.1.b. invloed; BZK
Stichting De Rijswijkse Schouwburg; Rijswijk; art. 1.3.1.b. invloed; BZK
Stichting De Schoor; Almere; art. 1.3.1.c. subsidie; BZK
Stichting De Sociale Maatschap; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting De Stuw; Hardenberg; art. 1.3.1.c. subsidie; BZK
Stichting De toekomst; Barendrecht; art. 1.3.1.c. subsidie; BZK
Stichting 'De Toneelschuur'; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting De Trits; Baarn; art. 1.3.1.c. subsidie; BZK
Stichting De Welle; Nijverdal; art. 1.3.1.c. subsidie; BZK
Stichting De Zeeuwse Ombudsman; Middelburg; art. 1.3.1.b. invloed; BZK
Stichting Deelnemingen Gemeente Gilze en Rijen; Rijen; art. 1.3.1.b. invloed; BZK
Stichting Deltares; Delft; art. 1.3.1.b. invloed; EZK
Stichting Deventer Verhaal; Deventer; art. 1.3.1.c. subsidie; BZK
Stichting Diergeneesmiddelenautoriteit; Utrecht; art. 1.3.1.c. subsidie; LNV
Stichting Distripark Eemhaven; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Doarpswurk; Raerd; art. 1.3.1.c. subsidie; BZK
Stichting DOCK Amstel & Zaan; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting DOCK Haarlem; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting DOENJA Dienstverlening; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting DOK; Delft; art. 1.3.1.c. subsidie; BZK
Stichting Dona Daria, Centrum voor Vrouwen en Emancipatie te Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Donorgegevens Kunstmatige Bevruchting; 's-Gravenhage; bijlagen WNT; JenV
Stichting Doornroosje; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Doras; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Dorp, Stad en Land; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Dorpshuis De Zwaan; Uitgeest; art. 1.3.1.b. invloed; BZK
Stichting Dr. Hilda Verwey-Jonker Instituut, Instituut voor Onderzoek van Maatschappelijke Vraagstukken; Utrecht; art. 1.3.1.c. subsidie; SZW
Stichting DutchStartHub; Amsterdam; art. 1.3.1.b. invloed; EZK
Stichting Dynamo Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Economic Board Groningen; Winsum; art. 1.3.1.b. invloed; BZK
Stichting Economic Board Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Economic Development Board Almere; Almere; art. 1.3.1.b. invloed; BZK
Stichting Economische Samenwerking Zuid-Limburg; Sittard; art. 1.3.1.b. invloed; BZK
Stichting Ecsplore; Geleen; art. 1.3.1.c. subsidie; BZK
Stichting Eigen-Kracht Centrale; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting Eigenwijks, organisatie van samenwerkende wijkbewoners; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Eindhoven 365; Eindhoven; art. 1.3.1.b. invloed; BZK
Stichting Eindhoven Marketing; Eindhoven; art. 1.3.1.b. invloed; BZK
Stichting Eindhoven Museum; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting ELCKERLYC; Vlaardingen; art. 1.3.1.c. subsidie; BZK
Stichting Elektronische Communicatie Hypotheken (ECH); 's-Gravenhage; art. 1.3.1.b. invloed; JenV
Stichting ElkWelzijn; Culemborg; art. 1.3.1.c. subsidie; BZK
Stichting Emma at Work; Amsterdam; art. 1.3.1.b. invloed; BZK
Stichting Energieonderzoek Centrum Nederland; Petten; art. 1.3.1.b. invloed; EZK
Stichting Enschede Promotie; Enschede; art. 1.3.1.c. subsidie; BZK
Stichting Erfgoed Gelderland; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Erfgoedhuis Zuid-Holland; Delft; art. 1.3.1.c. subsidie; BZK
Stichting Erfgoedpartners; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Euregio Maas-Rijn; Maastricht; art. 1.3.1.b. invloed; BZK
Stichting Europa Decentraal -  Kenniscentrum Europees Recht en Beleid voor Decentrale Overheden; 's-Gravenhage; bijlagen WNT; BZK
Stichting Expertisecentrum Forensische Psychiatrie; Utrecht; art. 1.3.1.c. subsidie; JenV
Stichting Expertisecentrum JSO; Gouda; art. 1.3.1.c. subsidie; BZK
Stichting Exploitatie Maatschappij Golfbaan Duurswold; Steendam; art. 1.3.1.b. invloed; BZK
Stichting Exploitatie Rijksmonumenten in de Gemeente Opmeer; Opmeer; art. 1.3.1.b. invloed; BZK
Stichting Exploitatie van Zwembaden in de Gemeente Wijchen; Wijchen; art. 1.3.1.b. invloed; BZK
Stichting Factorium Cultuurmakers; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Fair Wear Foundation; Amsterdam; bijlagen WNT; BZ
Stichting FairWork; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Farent; 's-Hertogenbosch; art. 1.3.1.c. subsidie; BZK
Stichting Figulus Welzijn Aalten-Dinxperlo; Aalten; art. 1.3.1.c. subsidie; BZK
Stichting Film- en Theatercentrum Plaza Futura; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting FlevoMeer Bibliotheek; Lelystad; art. 1.3.1.c. subsidie; BZK
Stichting Flidunen; Oost-Vlieland; art. 1.3.1.b. invloed; BZK
Stichting FluXus, Centrum voor de Kunsten Zaanstad; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting Fonds Bijzondere Noden Rotterdam; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Fonds Fysieke Leefomgeving; Ede; art. 1.3.1.b. invloed; IenW
Stichting Food Valley; Wageningen; art. 1.3.1.c. subsidie; BZK
Stichting Forte Welzijn; Groesbeek; art. 1.3.1.c. subsidie; BZK
Stichting Forum Groningen; Groningen; art. 1.3.1.b. invloed; BZK
Stichting Frans Hals Museum; Haarlem; art. 1.3.1.b. invloed; BZK
Stichting Free Press Unlimited; Amsterdam; bijlagen WNT; BZ
Stichting Fries Natuurhistorisch Museum; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting Fries Scheepvaartmuseum; Sneek; art. 1.3.1.c. subsidie; BZK
Stichting Friese Milieufederatie; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting Fundament; Losser; art. 1.3.1.b. invloed; BZK
Stichting Gasthuis Frascati; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Gelderse Sport Federatie PG; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Gemeenschappelijke Openbare Bibliotheek Hoorn; Hoorn; art. 1.3.1.c. subsidie; BZK
Stichting Gemeentemuseum Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Geonovum; Amersfoort; art. 1.3.1.b. invloed; BZK
Stichting Geschillencommissies voor Consumentenzaken; 's-Gravenhage; art. 1.3.1.b. invloed; JenV
Stichting Gigant; Apeldoorn; art. 1.3.1.c. subsidie; BZK
Stichting Global Partnership for the Prevention of Armed Conflict; 's-Gravenhage; bijlagen WNT; BZ
Stichting Goois Natuurreservaat; Hilversum; art. 1.3.1.b. invloed; BZK
Stichting Gorinchemse Sportaccommodaties; Gorinchem; art. 1.3.1.b. invloed; BZK
Stichting Graafschap bibliotheken; Zutphen; art. 1.3.1.c. subsidie; BZK
Stichting Greenport Aalsmeer; Aalsmeer; art. 1.3.1.c. subsidie; BZK
Stichting Greenport Regio Boskoop; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Greenport Westland Oostland; Zoetermeer; art. 1.3.1.b. invloed; BZK
Stichting Groeibriljant; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Groen Gas Nederland; Blaricum; art. 1.3.1.b. invloed; BZK
Stichting Groenfonds; Amersfoort; art. 1.3.1.b. invloed; LNV
Stichting Groenfonds Midden-Delfland; Schipluiden; art. 1.3.1.b. invloed; BZK
Stichting Groninger Museum voor Stad en Lande; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting H19 Centrum voor de kunsten; Oosterhout; art. 1.3.1.c. subsidie; BZK
Stichting Haags Pop Centrum; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Haags Werk Bedrijf Publieke Taken; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Haarlem Effect; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Haarlem Marketing; Haarlem; art. 1.3.1.b. invloed; BZK
Stichting Halt; Utrecht; bijlagen WNT; JenV
Stichting Hambroek; Borculo; art. 1.3.1.b. invloed; BZK
Stichting Handjehelpen; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Hannema-de Stuers Fundatie; zwolle; art. 1.3.1.b. invloed; BZK
Stichting Hart; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Hart voor Woerden; Woerden; art. 1.3.1.c. subsidie; BZK
Stichting Health Insurance Fund; Amsterdam; bijlagen WNT; BZ
Stichting Health Valley Netherlands; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Healthy Ageing Network Northern Netherlands; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Heerlen Mijn Stad; Heerlen; art. 1.3.1.b. invloed; BZK
Stichting Het Cultuurgebouw Haarlemmermeer; Hoofddorp; art. 1.3.1.c. subsidie; BZK
Stichting Het Flevo-landschap; Lelystad; art. 1.3.1.b. invloed; BZK
Stichting het Juridisch Loket; Utrecht; art. 1.3.1.c. subsidie; JenV
Stichting Het Limburgs Landschap; Lomm; art. 1.3.1.b. invloed; BZK
Stichting Het Nationale Theater; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Het Noordbrabants Landschap; Haaren; art. 1.3.1.b. invloed; BZK
Stichting Het Pakhuis; Ermelo; art. 1.3.1.b. invloed; BZK
Stichting het Pieck; Drunen; art. 1.3.1.c. subsidie; BZK
Stichting het Veluwse Bosbrandweer Comité; Apeldoorn; art. 1.3.1.b. invloed; BZK
Stichting Het Zeeuwse Landschap; Wilhelminadorp; art. 1.3.1.c. subsidie; BZK
Stichting Heubi; Maastricht; art. 1.3.1.b. invloed; BZK
Stichting Hivos (Humanistisch Instituut voor Ontwikkelings Samenwerking); 's-Gravenhage; bijlagen WNT; BZ
Stichting Holland Dance Festival; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Huis voor de Kunsten Limburg; Roermond; art. 1.3.1.c. subsidie; BZK
Stichting Hulp en Opvang Prostitutie en Mensenhandel; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Hulst voor Elkaar; Hulst; art. 1.3.1.c. subsidie; BZK
Stichting ICO Centrum voor Kunst & Cultuur; Assen; art. 1.3.1.c. subsidie; BZK
Stichting Ictu; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Stichting IDH Sustainable Trade Initiative; Utrecht; bijlagen WNT; BZ
Stichting Iepenwacht Fryslân; Lemmer; art. 1.3.1.b. invloed; BZK
Stichting IJsterk Actief burgerschap en Participatie; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting IJswegencentrale Oostergoo; Dokkum; art. 1.3.1.b. invloed; BZK
Stichting Incident Management Vrachtauto's; Utrecht; art. 1.3.1.b. invloed; IenW
Stichting Infrastructuur Kwaliteitsborging Bodembeheer; Gouda; art. 1.3.1.b. invloed; IenW
Stichting Inkoopbureau Midden Nederland; Vianen; art. 1.3.1.b. invloed; BZK
Stichting Inkoopbureau West-Brabant; Etten-Leur; art. 1.3.1.b. invloed; BZK
Stichting Inlichtingenbureau; Utrecht; art. 1.3.1.b. invloed; SZW
Stichting Instandhouding Kleine Landschapselementen in Limburg; Nieuwstadt; art. 1.3.1.c. subsidie; BZK
Stichting Instituut voor Kunst en Cultuur; Assen; art. 1.3.1.c. subsidie; BZK
Stichting Instituut voor Maatschappelijk Welzijn Breda e.o.; Breda; art. 1.3.1.c. subsidie; BZK
Stichting Instituut voor Maatschappelijk Werk; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Internationaal Theater Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting International Sports Alliance (ISA); 's-Hertogenbosch; bijlagen WNT; BZ
Stichting ir.D.F. Woudagemaal; Leeuwarden; art. 1.3.1.b. invloed; BZK
Stichting IRC, International Water and Sanitation Centre; 's-Gravenhage; bijlagen WNT; BZ
Stichting It Toanhûs; Joure; art. 1.3.1.c. subsidie; BZK
Stichting J.H. Christiaanse; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Japanmuseum Sieboldhuis; Leiden; art. 1.3.1.c. subsidie; BZK
Stichting Jeugd- en Jongerenwerk Midden-Holland; Waddinxveen; art. 1.3.1.c. subsidie; BZK
Stichting Jeugd en Samenleving Rijnland; Leiden; art. 1.3.1.c. subsidie; BZK
Stichting Jeugdbescherming Noord en Veilig Thuis Groningen; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Jeugdfonds Sport Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Jeugdgezondheidszorg Zuid-Holland West; Zoetermeer; art. 1.3.1.b. invloed; BZK
Stichting Jeugd-Punt; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Jeugdtheater Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Jeugdwerk Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Jongerenwerk Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting JOZ; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Junushoff; Wageningen; art. 1.3.1.b. invloed; BZK
Stichting Kaliber Kunstenschool; Enschede; art. 1.3.1.c. subsidie; BZK
Stichting KEaRN Beheer; Burgum; art. 1.3.1.c. subsidie; BZK
Stichting Kennis en Innovatie in Energie- en Milieu Technologie; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Kenniscentrum Cultuureducatie Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Kennispoort Regio Zwolle; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting Keramiekcentrum Tiendschuur Tegelen; Tegelen; art. 1.3.1.c. subsidie; BZK
Stichting Keunstwurk; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting Kindcentra De Cirkel Almelo; Almelo; art. 1.3.1.c. subsidie; BZK
Stichting Kinderopvang en Kenniscentrum Startpunt; Emmeloord; art. 1.3.1.c. subsidie; BZK
Stichting Kinderparadijs Meidoorn; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Kinderspeelzalen Harderwijk; Harderwijk; art. 1.3.1.c. subsidie; BZK
Stichting KnowHouse; Venlo; art. 1.3.1.b. invloed; BZK
Stichting Koepel sport, welzijn en cultuur gemeente Voorst; Twello; art. 1.3.1.b. invloed; BZK
Stichting Koorenhuis; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting KopGroep Bibliotheken; Den Helder; art. 1.3.1.c. subsidie; BZK
Stichting Korzo; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Kranenburgh; Bergen (NH); art. 1.3.1.b. invloed; BZK
Stichting Kredietbank Nederland; Leeuwarden; art. 1.3.1.b. invloed; BZK
Stichting Kulturhus De Bijenkorf Borne; Borne; art. 1.3.1.c. subsidie; BZK
Stichting Kulturhus Haaksbergen; Haaksbergen; art. 1.3.1.c. subsidie; BZK
Stichting Kulturhus Olst-Wijhe; Olst; art. 1.3.1.c. subsidie; BZK
Stichting Kunst en Cultuur Zoetermeer; Zoetermeer; art. 1.3.1.c. subsidie; BZK
Stichting Kunstbedrijf Arnhem; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Kunstencentrum Jerusalem; Venray; art. 1.3.1.c. subsidie; BZK
Stichting Kunstencentrum Waalwijk; Waalwijk; art. 1.3.1.c. subsidie; BZK
Stichting Kunstenhuis De Bilt-Zeist; Zeist; art. 1.3.1.c. subsidie; BZK
Stichting Kunstform; Ijmuiden; art. 1.3.1.b. invloed; BZK
Stichting Kunsthal Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Kunstkwartier; Helmond; art. 1.3.1.c. subsidie; BZK
Stichting Kunstmin; Dordrecht; art. 1.3.1.c. subsidie; BZK
Stichting Kunstraad Groningen; Groningen; art. 1.3.1.b. invloed; BZK
Stichting Kunstzinnige Vorming Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Kwaliteits-Controle-Bureau; Zoetermeer; art. 1.3.1.a. openbaar gezag; LNV
Stichting Kwartier Zorg & Welzijn; Hoogezand; art. 1.3.1.c. subsidie; BZK
Stichting La Poubelle; Tilburg; art. 1.3.1.b. invloed; BZK
Stichting La Vuelta Holanda; Utrecht; art. 1.3.1.b. invloed; BZK
Stichting Land van Wijk en Wouden; Leiden; art. 1.3.1.b. invloed; BZK
Stichting Landelijk Coördinatiecentrum Reizigersadvisering; Amsterdam; art. 1.3.1.b. invloed; BZK
Stichting Landelijke Inspectiedienst Dierenbescherming; 's-Gravenhage; art. 1.3.1.c. subsidie; LNV
Stichting Landgoed Slot Schaesberg; Landgraaf; art. 1.3.1.b. invloed; BZK
Stichting Landinrichting en Bodemverontreiniging; Groningen; art. 1.3.1.b. invloed; BZK
Stichting landschap Erfgoed Utrecht; De Bilt; art. 1.3.1.c. subsidie; BZK
Stichting Landschap Noord-Holland; Heiloo; art. 1.3.1.b. invloed; BZK
Stichting Landschap Overijssel; Dalfsen; art. 1.3.1.c. subsidie; BZK
Stichting Landschapsbeheer Drenthe; Assen; art. 1.3.1.c. subsidie; BZK
Stichting Landschapsbeheer Friesland; Beetsterzwaag; art. 1.3.1.c. subsidie; BZK
Stichting Landschapsbeheer Gelderland; Rozendaal; art. 1.3.1.b. invloed; BZK
Stichting Landschapsbeheer Groningen; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Landschapsbeheer Zeeland; Goes; art. 1.3.1.c. subsidie; BZK
Stichting LantarenVenster; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Leergeld Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Leerorkest; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Leger des Heils Jeugdbescherming & Reclassering; Almere; bijlagen WNT; JenV
Stichting Leidingenstraat Nederland; Roosendaal; art. 1.3.1.b. invloed; IenW
Stichting Libau, welstands- en monumentenzorg Groningen; Groningen; art. 1.3.1.b. invloed; BZK
Stichting Life Science Incubator Maastricht; Maastricht; art. 1.3.1.b. invloed; BZK
Stichting Life Sciences Health - TKI; 's-Gravenhage; art. 1.3.1.c. subsidie; EZK
Stichting Limburgs Museum; Venlo; art. 1.3.1.b. invloed; BZK
Stichting LOC+; Hardenberg; art. 1.3.1.b. invloed; BZK
Stichting LTS Salt Boemel; Zaltbommel; art. 1.3.1.b. invloed; BZK
Stichting Lumens; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting Luxor Theater Rotterdam; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Maashorst in Uitvoering; Heesch; art. 1.3.1.b. invloed; BZK
