ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Gemeenschappelijke regeling Gemeenschappelijk Belastingkantoor Lococensus-Tricijn; Zwolle; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Gemeentelijke Kredietbank Drenthe; Assen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Heesch West; Oss; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling IJsselmeergroep; Lelystad; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Inkoopbureau H-10; Zoetermeer; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Instituut voor Werkvoorziening Zuid Oost Utrecht; Veenendaal; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Intergemeentelijke Uitvoeringsorganisatie; Arnhem; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Kempisch Bedrijvenpark; Bladel; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling MER; Echt; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling nazorg gesloten stortplaatsen Bavel-Dorst en Zevenbergen; Breda; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Nieuw Reijerwaard; Ridderkerk; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling NoardEast Fryslân (NEF); Dokkum; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant; Tilburg; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Omgevingsdienst Regio Utrecht; Utrecht; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Omnibuzz; Geleen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling openbare gezondheidszorg Amstelland; Amstelveen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Park Lingezegen; Elst; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Participatiebedrijf Wsw; Sittard; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Peelgemeenten; Deurne; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Regio Hart van Brabant; Tilburg; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Regio West-Brabant; Etten-Leur; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Regionaal Historisch Centrum Het Flevolands Archief; Lelystad; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Regionale Ambulance Voorziening Brabant Midden-West-Noord; 's-Hertogenbosch; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Regionale Uitvoeringsdienst  Drenthe; Assen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Regionale uitvoeringsdienst Zeeland; Terneuzen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Reinigingsdienst Maasland; Haelen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Reinigingsdiensten Rd4; Heerlen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Rioolwaterzuiveringsinrichting Gooiersgracht; Blaricum; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling samenwerking Boxtel-Sint Michielsgestel; Boxtel; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Samenwerking De Bevelanden; Goes; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Samenwerkingsverband afvalstoffenverwijdering Oost- en Zuidoost Groningen; Stadskanaal; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Samenwerkingsverband Noord-Nederland; Groningen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Slibverwerking 2009; Ridderkerk; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Sociaal Domein Baarn, Bunschoten en Soest; Soest; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Sociaal Werkvoorzieningschap Centraal Overijssel (SOWECO); Almelo; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Sportpark Souburgh 2011; Bleskensgraaf; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling SW Fryslân; Drachten; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Technology Base; Enschede; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling UW Samenwerking; IJsselstein; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Veiligheidsregio Brabant-Noord; 's-Hertogenbosch; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Veiligheidsregio Groningen; Groningen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Veiligheidsregio Zeeland; Middelburg; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Vixia; Sittard; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling voor Gesubsideerde Arbeid Kop van NH; Schagen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling voor Sociale Kredietverlening en Schuldhulpverlening in Limburg; Geleen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Waterschapsbedrijf Limburg; Roermond; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Werk en Inkomen Lekstroom; Nieuwegein; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Werkbedrijf Arbeid Voor Allen (WAVA); Oosterhout; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Werkorganisatie gemeenten Delfzijl, Eemsmond, Appingedam en Loppersum; Delfzijl; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Werkplein Hart van West-Brabant; Etten-Leur; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Werkvoorzieningschap Kampen en Dronten; Kampen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Werkvoorzieningsschap Regio Eindhoven (GRWRE), Ergon; Eindhoven; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Westrom; Roermond; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling WVS-groep; Roosendaal; art. 1.2.1.h. WGR; BZK
Gemeente Aa en Hunze; Gieten; art. 1.2.1.c. gemeenten; BZK
Gemeente Aalsmeer; Aalsmeer; art. 1.2.1.c. gemeenten; BZK
Gemeente Aalten; Aalten; art. 1.2.1.c. gemeenten; BZK
Gemeente Achtkarspelen; Buitenpost; art. 1.2.1.c. gemeenten; BZK
Gemeente Alblasserdam; Alblasserdam; art. 1.2.1.c. gemeenten; BZK
Gemeente Albrandswaard; Rhoon; art. 1.2.1.c. gemeenten; BZK
Gemeente Alkmaar; Alkmaar; art. 1.2.1.c. gemeenten; BZK
Gemeente Almelo; Almelo; art. 1.2.1.c. gemeenten; BZK
Gemeente Almere; Almere; art. 1.2.1.c. gemeenten; BZK
Gemeente Alphen aan den Rijn; Alphen aan den Rijn; art. 1.2.1.c. gemeenten; BZK
Gemeente Alphen-Chaam; Alphen; art. 1.2.1.c. gemeenten; BZK
Gemeente Altena; Almkerk; art. 1.2.1.c. gemeenten; BZK
Gemeente Ameland; Ballum; art. 1.2.1.c. gemeenten; BZK
Gemeente Amersfoort; Amersfoort; art. 1.2.1.c. gemeenten; BZK
Gemeente Amstelveen; Amstelveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Amsterdam; Amsterdam; art. 1.2.1.c. gemeenten; BZK
Gemeente Apeldoorn; Apeldoorn; art. 1.2.1.c. gemeenten; BZK
Gemeente Appingedam; Appingedam; art. 1.2.1.c. gemeenten; BZK
Gemeente Arnhem; Arnhem; art. 1.2.1.c. gemeenten; BZK
Gemeente Assen; Assen; art. 1.2.1.c. gemeenten; BZK
Gemeente Asten; Asten; art. 1.2.1.c. gemeenten; BZK
Gemeente Baarle-Nassau; Baarle-Nassau; art. 1.2.1.c. gemeenten; BZK
Gemeente Baarn; Baarn; art. 1.2.1.c. gemeenten; BZK
Gemeente Barendrecht; Barendrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Barneveld; Barneveld; art. 1.2.1.c. gemeenten; BZK
Gemeente Beek; Beek; art. 1.2.1.c. gemeenten; BZK
Gemeente Beekdaelen; Nuth; art. 1.2.1.c. gemeenten; BZK
Gemeente Beemster; Middenbeemster; art. 1.2.1.c. gemeenten; BZK
Gemeente Beesel; Reuver; art. 1.2.1.c. gemeenten; BZK
Gemeente Berg en Dal; Groesbeek; art. 1.2.1.c. gemeenten; BZK
Gemeente Bergeijk; Bergeijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Bergen; Alkmaar; art. 1.2.1.c. gemeenten; BZK
Gemeente Bergen (L); Bergen L; art. 1.2.1.c. gemeenten; BZK
Gemeente Bergen op Zoom; Bergen op Zoom; art. 1.2.1.c. gemeenten; BZK
Gemeente Berkelland; Borculo; art. 1.2.1.c. gemeenten; BZK
Gemeente Bernheze; Heesch; art. 1.2.1.c. gemeenten; BZK
Gemeente Best; Best; art. 1.2.1.c. gemeenten; BZK
Gemeente Beuningen; Beuningen Gld; art. 1.2.1.c. gemeenten; BZK
Gemeente Beverwijk; Beverwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Bladel; Bladel; art. 1.2.1.c. gemeenten; BZK
Gemeente Blaricum; Blaricum; art. 1.2.1.c. gemeenten; BZK
Gemeente Bloemendaal; Overveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Bodegraven-Reeuwijk; Bodegraven; art. 1.2.1.c. gemeenten; BZK
Gemeente Boekel; Boekel; art. 1.2.1.c. gemeenten; BZK
Gemeente Borger-Odoorn; Exloo; art. 1.2.1.c. gemeenten; BZK
Gemeente Borne; Borne; art. 1.2.1.c. gemeenten; BZK
Gemeente Borsele; Heinkenszand; art. 1.2.1.c. gemeenten; BZK
Gemeente Boxmeer; Boxmeer; art. 1.2.1.c. gemeenten; BZK
Gemeente Boxtel; Boxtel; art. 1.2.1.c. gemeenten; BZK
Gemeente Breda; Breda; art. 1.2.1.c. gemeenten; BZK
Gemeente Brielle; Brielle; art. 1.2.1.c. gemeenten; BZK
Gemeente Bronckhorst; Hengelo (Gld); art. 1.2.1.c. gemeenten; BZK
Gemeente Brummen; Brummen; art. 1.2.1.c. gemeenten; BZK
Gemeente Brunssum; Brunssum; art. 1.2.1.c. gemeenten; BZK
Gemeente Bunnik; Odijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Bunschoten; Bunschoten-Spakenburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Buren; Maurik; art. 1.2.1.c. gemeenten; BZK
Gemeente Capelle aan den IJssel; Capelle aan den IJssel; art. 1.2.1.c. gemeenten; BZK
Gemeente Castricum; Castricum; art. 1.2.1.c. gemeenten; BZK
Gemeente Coevorden; Coevorden; art. 1.2.1.c. gemeenten; BZK
Gemeente Cranendonck; Budel; art. 1.2.1.c. gemeenten; BZK
